جدول التحليل Table-Driven LL(1) — قواعد الدكتور خالد الكحسة
الصيغة: M[NonTerminal, Lookahead] = Production
============================================================================================
M[Start, Program] = ProgramUnit Eof
M[ProgramUnit, Program] = Program Identifier Semicolon DefinitionList Block Dot
M[Block, LeftBrace] = LeftBrace StatementList RightBrace
M[DefinitionList, LeftBrace] = ε
M[DefinitionList, Const] = Definition DefinitionList
M[DefinitionList, TypeDeclaration] = Definition DefinitionList
M[DefinitionList, Variable] = Definition DefinitionList
M[DefinitionList, Procedure] = Definition DefinitionList
M[Definition, Const] = ConstantDeclaration
M[Definition, TypeDeclaration] = TypeDeclaration
M[Definition, Variable] = VariableDeclaration
M[Definition, Procedure] = ProcedureDeclaration
M[ConstantDeclaration, Const] = Const Identifier Assign ConstantValue Semicolon
M[ConstantValue, Identifier] = Identifier
M[ConstantValue, Integer] = Integer
M[ConstantValue, Real] = Real
M[ConstantValue, String] = String
M[ConstantValue, True] = True
M[ConstantValue, False] = False
M[ConstantValue, Character] = Character
M[TypeDeclaration, TypeDeclaration] = TypeDeclaration Identifier Assign CompositeType Semicolon
M[CompositeType, List] = ListType
M[CompositeType, Record] = RecordType
M[ListType, List] = List LeftBracket Integer RightBracket From DataType
M[RecordType, Record] = Record LeftBrace FieldList RightBrace
M[FieldList, Identifier] = FieldDeclaration FieldListTail
M[FieldListTail, RightBrace] = ε
M[FieldListTail, Semicolon] = Semicolon FieldList
M[FieldDeclaration, Identifier] = Identifier Colon DataType
M[ProcedureDeclaration, Procedure] = Procedure Identifier LeftParen FormalParametersOpt RightParen Semicolon DefinitionList Block Semicolon
M[FormalParametersOpt, RightParen] = ε
M[FormalParametersOpt, ByValue] = FormalParameter FormalParametersTail
M[FormalParametersOpt, ByReference] = FormalParameter FormalParametersTail
M[FormalParametersTail, RightParen] = ε
M[FormalParametersTail, Semicolon] = Semicolon FormalParameter FormalParametersTail
M[FormalParameter, ByValue] = PassingMode NameList Colon DataType
M[FormalParameter, ByReference] = PassingMode NameList Colon DataType
M[PassingMode, ByValue] = ByValue
M[PassingMode, ByReference] = ByReference
M[VariableDeclaration, Variable] = Variable NameList Colon DataType Semicolon
M[NameList, Identifier] = Identifier NameListTail
M[NameListTail, Colon] = ε
M[NameListTail, Comma] = Comma Identifier NameListTail
M[DataType, Identifier] = Identifier
M[DataType, TypeInt] = TypeInt
M[DataType, TypeReal] = TypeReal
M[DataType, TypeBool] = TypeBool
M[DataType, TypeChar] = TypeChar
M[DataType, TypeString] = TypeString TypeStringQualifier
M[StatementList, Identifier] = Statement StatementList
M[StatementList, If] = Statement StatementList
M[StatementList, While] = Statement StatementList
M[StatementList, Print] = Statement StatementList
M[StatementList, LeftBrace] = Statement StatementList
M[StatementList, RightBrace] = ε
M[StatementList, Read] = Statement StatementList
M[StatementList, Repeat] = Statement StatementList
M[StatementList, RepeatUntil] = Statement StatementList
M[Statement, Identifier] = IdentifierStatement
M[Statement, If] = IfStatement
M[Statement, While] = WhileStatement
M[Statement, Print] = PrintStatement
M[Statement, LeftBrace] = Block
M[Statement, Read] = ReadStatement
M[Statement, Repeat] = RepeatToStatement
M[Statement, RepeatUntil] = RepeatUntilStatement
M[PrintStatement, Print] = Print LeftParen PrintItems RightParen Semicolon
M[PrintItems, Identifier] = Expression PrintItemsTail
M[PrintItems, Integer] = Expression PrintItemsTail
M[PrintItems, Real] = Expression PrintItemsTail
M[PrintItems, String] = Expression PrintItemsTail
M[PrintItems, True] = Expression PrintItemsTail
M[PrintItems, False] = Expression PrintItemsTail
M[PrintItems, Plus] = Expression PrintItemsTail
M[PrintItems, Minus] = Expression PrintItemsTail
M[PrintItems, Bang] = Expression PrintItemsTail
M[PrintItems, LeftParen] = Expression PrintItemsTail
M[PrintItems, Character] = Expression PrintItemsTail
M[PrintItemsTail, RightParen] = ε
M[PrintItemsTail, Comma] = Comma Expression PrintItemsTail
M[ReadStatement, Read] = Read LeftParen Access RightParen Semicolon
M[IfStatement, If] = If LeftParen Expression RightParen Then Statement ElsePart
M[ElsePart, Identifier] = ε
M[ElsePart, If] = ε
M[ElsePart, Else] = Else Statement
M[ElsePart, While] = ε
M[ElsePart, Print] = ε
M[ElsePart, LeftBrace] = ε
M[ElsePart, RightBrace] = ε
M[ElsePart, Read] = ε
M[ElsePart, Repeat] = ε
M[ElsePart, RepeatUntil] = ε
M[RepeatToStatement, Repeat] = Repeat LeftParen Identifier Assign Expression To Expression StepOpt RightParen Statement
M[StepOpt, RightParen] = ε
M[StepOpt, Step] = Step Expression
M[WhileStatement, While] = While LeftParen Expression RightParen Continue Statement
M[RepeatUntilStatement, RepeatUntil] = RepeatUntil Statement Until LeftParen Expression RightParen
M[IdentifierStatement, Identifier] = Identifier IdentifierStatementTail
M[IdentifierStatementTail, Assign] = AccessTail Assign Expression Semicolon
M[IdentifierStatementTail, LeftParen] = LeftParen ActualArgumentsOpt RightParen Semicolon
M[IdentifierStatementTail, Dot] = AccessTail Assign Expression Semicolon
M[IdentifierStatementTail, LeftBracket] = AccessTail Assign Expression Semicolon
M[ActualArgumentsOpt, Identifier] = ActualArguments
M[ActualArgumentsOpt, Integer] = ActualArguments
M[ActualArgumentsOpt, Real] = ActualArguments
M[ActualArgumentsOpt, String] = ActualArguments
M[ActualArgumentsOpt, True] = ActualArguments
M[ActualArgumentsOpt, False] = ActualArguments
M[ActualArgumentsOpt, Plus] = ActualArguments
M[ActualArgumentsOpt, Minus] = ActualArguments
M[ActualArgumentsOpt, Bang] = ActualArguments
M[ActualArgumentsOpt, LeftParen] = ActualArguments
M[ActualArgumentsOpt, RightParen] = ε
M[ActualArgumentsOpt, Character] = ActualArguments
M[ActualArguments, Identifier] = Expression ActualArgumentsTail
M[ActualArguments, Integer] = Expression ActualArgumentsTail
M[ActualArguments, Real] = Expression ActualArgumentsTail
M[ActualArguments, String] = Expression ActualArgumentsTail
M[ActualArguments, True] = Expression ActualArgumentsTail
M[ActualArguments, False] = Expression ActualArgumentsTail
M[ActualArguments, Plus] = Expression ActualArgumentsTail
M[ActualArguments, Minus] = Expression ActualArgumentsTail
M[ActualArguments, Bang] = Expression ActualArgumentsTail
M[ActualArguments, LeftParen] = Expression ActualArgumentsTail
M[ActualArguments, Character] = Expression ActualArgumentsTail
M[ActualArgumentsTail, RightParen] = ε
M[ActualArgumentsTail, Comma] = Comma Expression ActualArgumentsTail
M[Access, Identifier] = Identifier AccessTail
M[AccessTail, Plus] = ε
M[AccessTail, Minus] = ε
M[AccessTail, Star] = ε
M[AccessTail, Slash] = ε
M[AccessTail, Percent] = ε
M[AccessTail, Assign] = ε
M[AccessTail, EqualEqual] = ε
M[AccessTail, BangEqual] = ε
M[AccessTail, Less] = ε
M[AccessTail, LessEqual] = ε
M[AccessTail, Greater] = ε
M[AccessTail, GreaterEqual] = ε
M[AccessTail, AndAnd] = ε
M[AccessTail, OrOr] = ε
M[AccessTail, RightParen] = ε
M[AccessTail, Semicolon] = ε
M[AccessTail, Comma] = ε
