تتبع LL(1) الرسمي: Stack → Lookahead → Action
====================================================================================================
  1 | Start | "برنامج" (Program) | M[Start, Program] = ProgramUnit Eof
  2 | ProgramUnit Eof | "برنامج" (Program) | M[ProgramUnit, Program] = Program Identifier Semicolon DefinitionList Block Dot
  3 | Program Identifier Semicolon DefinitionList Block Dot Eof | "برنامج" (Program) | Match terminal Program
  4 | Identifier Semicolon DefinitionList Block Dot Eof | "السجلات_وهياكل_البيانات" (Identifier) | Match terminal Identifier
  5 | Semicolon DefinitionList Block Dot Eof | ";" (Semicolon) | Match terminal Semicolon
  6 | DefinitionList Block Dot Eof | "نوع" (TypeDeclaration) | M[DefinitionList, TypeDeclaration] = Definition DefinitionList
  7 | Definition DefinitionList Block Dot Eof | "نوع" (TypeDeclaration) | M[Definition, TypeDeclaration] = TypeDeclaration
  8 | TypeDeclaration DefinitionList Block Dot Eof | "نوع" (TypeDeclaration) | M[TypeDeclaration, TypeDeclaration] = TypeDeclaration Identifier Assign CompositeType Semicolon
  9 | TypeDeclaration Identifier Assign CompositeType Semicolon DefinitionList Block Dot Eof | "نوع" (TypeDeclaration) | Match terminal TypeDeclaration
 10 | Identifier Assign CompositeType Semicolon DefinitionList Block Dot Eof | "نقطة_هندسية" (Identifier) | Match terminal Identifier
 11 | Assign CompositeType Semicolon DefinitionList Block Dot Eof | "=" (Assign) | Match terminal Assign
 12 | CompositeType Semicolon DefinitionList Block Dot Eof | "سجل" (Record) | M[CompositeType, Record] = RecordType
 13 | RecordType Semicolon DefinitionList Block Dot Eof | "سجل" (Record) | M[RecordType, Record] = Record LeftBrace FieldList RightBrace
 14 | Record LeftBrace FieldList RightBrace Semicolon DefinitionList Block Dot Eof | "سجل" (Record) | Match terminal Record
 15 | LeftBrace FieldList RightBrace Semicolon DefinitionList Block Dot Eof | "{" (LeftBrace) | Match terminal LeftBrace
 16 | FieldList RightBrace Semicolon DefinitionList Block Dot Eof | "س" (Identifier) | M[FieldList, Identifier] = FieldDeclaration FieldListTail
 17 | FieldDeclaration FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "س" (Identifier) | M[FieldDeclaration, Identifier] = Identifier Colon DataType
 18 | Identifier Colon DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "س" (Identifier) | Match terminal Identifier
 19 | Colon DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | ":" (Colon) | Match terminal Colon
 20 | DataType FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | M[DataType, TypeInt] = TypeInt
 21 | TypeInt FieldListTail RightBrace Semicolon DefinitionList Block Dot Eof | "صحيح" (TypeInt) | Match terminal TypeInt
