النوع           | النص               | الموقع
----------------------------------------------------------------
Program        | برنامج | سطر 1، عمود 1
Identifier     | السجلات_وهياكل_البيانات | سطر 1، عمود 8
Semicolon      | ; | سطر 1، عمود 31
TypeDeclaration | نوع | سطر 8، عمود 1
Identifier     | نقطة_هندسية | سطر 8، عمود 5
Assign         | = | سطر 8، عمود 17
Record         | سجل | سطر 8، عمود 19
LeftBrace      | { | سطر 8، عمود 23
Identifier     | س | سطر 9، عمود 5
Colon          | : | سطر 9، عمود 7
TypeInt        | صحيح | سطر 9، عمود 9
Semicolon      | ; | سطر 9، عمود 13
Identifier     | ص | سطر 10، عمود 5
Colon          | : | سطر 10، عمود 7
TypeInt        | صحيح | سطر 10، عمود 9
Semicolon      | ; | سطر 10، عمود 13
Identifier     | رمز | سطر 11، عمود 5
Colon          | : | سطر 11، عمود 9
TypeChar       | حرفي | سطر 11، عمود 11
RightBrace     | } | سطر 12، عمود 1
Semicolon      | ; | سطر 12، عمود 2
Variable       | متغير | سطر 14، عمود 1
Identifier     | نقطة_أ | سطر 14، عمود 7
Colon          | : | سطر 14، عمود 14
Identifier     | نقطة_هندسية | سطر 14، عمود 16
Semicolon      | ; | سطر 14، عمود 27
Variable       | متغير | سطر 15، عمود 1
Identifier     | نقطة_ب | سطر 15، عمود 7
Colon          | : | سطر 15، عمود 14
Identifier     | نقطة_هندسية | سطر 15، عمود 16
Semicolon      | ; | سطر 15، عمود 27
Variable       | متغير | سطر 16، عمود 1
Identifier     | مجموع_الإحداثيات | سطر 16، عمود 7
Colon          | : | سطر 16، عمود 24
TypeInt        | صحيح | سطر 16، عمود 26
Semicolon      | ; | سطر 16، عمود 30
LeftBrace      | { | سطر 18، عمود 1
Identifier     | نقطة_أ | سطر 20، عمود 5
Dot            | . | سطر 20، عمود 11
Identifier     | س | سطر 20، عمود 12
Assign         | = | سطر 20، عمود 14
Integer        | 10 | سطر 20، عمود 16
Semicolon      | ; | سطر 20، عمود 18
Identifier     | نقطة_أ | سطر 21، عمود 5
Dot            | . | سطر 21، عمود 11
Identifier     | ص | سطر 21، عمود 12
