النوع           | النص               | الموقع
----------------------------------------------------------------
Program        | برنامج | سطر 1، عمود 1
Identifier     | اختبار_الخطأ_الدلالي | سطر 1، عمود 8
Semicolon      | ; | سطر 1، عمود 28
Const          | ثابت | سطر 8، عمود 1
Identifier     | النسبة_الرسمية | سطر 8، عمود 6
Assign         | = | سطر 8، عمود 21
Integer        | 10 | سطر 8، عمود 23
Semicolon      | ; | سطر 8، عمود 25
Variable       | متغير | سطر 9، عمود 1
Identifier     | عدد | سطر 9، عمود 7
Colon          | : | سطر 9، عمود 11
TypeInt        | صحيح | سطر 9، عمود 13
Semicolon      | ; | سطر 9، عمود 17
Variable       | متغير | سطر 10، عمود 1
Identifier     | حالة | سطر 10، عمود 7
Colon          | : | سطر 10، عمود 12
TypeBool       | منطقي | سطر 10، عمود 14
Semicolon      | ; | سطر 10، عمود 19
LeftBrace      | { | سطر 12، عمود 1
Identifier     | عدد | سطر 13، عمود 5
Assign         | = | سطر 13، عمود 9
Integer        | 20 | سطر 13، عمود 11
Semicolon      | ; | سطر 13، عمود 13
Identifier     | حالة | سطر 14، عمود 5
Assign         | = | سطر 14، عمود 10
True           | صح | سطر 14، عمود 12
Semicolon      | ; | سطر 14، عمود 14
Identifier     | عدد | سطر 17، عمود 5
Assign         | = | سطر 17، عمود 9
Identifier     | عدد | سطر 17، عمود 11
Plus           | + | سطر 17، عمود 15
Identifier     | حالة | سطر 17، عمود 17
Semicolon      | ; | سطر 17، عمود 21
Print          | اطبع | سطر 19، عمود 5
LeftParen      | ( | سطر 19، عمود 9
Identifier     | عدد | سطر 19، عمود 10
RightParen     | ) | سطر 19، عمود 13
Semicolon      | ; | سطر 19، عمود 14
RightBrace     | } | سطر 20، عمود 1
Dot            | . | سطر 20، عمود 2
Eof            |  | سطر 21، عمود 1
